original_title,original_artist,spotify_title,spotify_artist,album,release_date,popularity,duration_ms,explicit,album_cover,genres
You're My Love,Michael Stanley Band,You're My Love (Remastered),Michael Stanley Band,North Coast (Remastered),1981,4,164066,False,https://i.scdn.co/image/ab67616d0000b2735d9e4eeddce3e36bf9050411,['heartland rock']
Welcome You Back Home - Original,Jackie Edwards,Welcome You Back Home - Original,Jackie Edwards,Jackie Edwards Selected Hits,2006-06-12,0,161000,False,https://i.scdn.co/image/ab67616d0000b273c163545176a3d4e6ec6c4955,"['jamaican ska', 'rocksteady']"
Turn It Up,Channel Live,Turn It Up,Channel Live,Armaghetto,2000-07-18,3,240866,True,https://i.scdn.co/image/ab67616d0000b27365bf38377c8781d04861430d,"['deep east coast hip hop', 'hardcore hip hop']"
Tango,Igor Stravinsky,Stravinsky: Tango,Igor Stravinsky,"Stravinsky: L'œuvre pour piano solo, vol. 2. Trois mouvements de Pétrouchka, Piano-Rag Music & Tango",1980-01-01,4,193040,False,https://i.scdn.co/image/ab67616d0000b273971ea56459446c218a54f2d2,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
Never Look Back,Blue Rodeo,Never Look Back,Blue Rodeo,The Things We Left Behind,2009,0,199626,False,https://i.scdn.co/image/ab67616d0000b273a9b7c1eccd319ac1a77289b0,"['canadian rock', 'country rock']"
8th Wonder,The Sugarhill Gang,8th Wonder (4sm Mix),The Sugarhill Gang,The 4sm Mixes,2000,27,451400,False,https://i.scdn.co/image/ab67616d0000b27328349de0b379b51662051205,"['east coast hip hop', 'funk', 'new jersey rap', 'old school hip hop']"
I'ma Bang,DMX,I'ma Bang,DMX,The Great Depression,2001-01-01,25,303640,True,https://i.scdn.co/image/ab67616d0000b2736ec8344d2f5f364bbdf15c0b,"['detroit hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
Never Gonna Give You Up,Rick Astley,Never Gonna Give You Up,Rick Astley,Whenever You Need Somebody,1987-11-12,78,213573,False,https://i.scdn.co/image/ab67616d0000b27315ebbedaacef61af244262a8,"['new romantic', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
Bad Seed,Wayne Kramer,Bad Seed,Wayne Kramer,LLMF,1998,10,249119,False,https://i.scdn.co/image/ab67616d0000b273291a3e8ec508adc8d9786509,
A Martyr For My Love For You,The White Stripes,A Martyr for My Love for You,The White Stripes,Icky Thump,2007-06-15,33,259533,False,https://i.scdn.co/image/ab67616d0000b27375a9cde08f286d9420709048,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']"
Get-U-Now,KMD,Get-U-Now,KMD,Black Bastards (Deluxe Edition),2000-05-15,31,147213,True,https://i.scdn.co/image/ab67616d0000b273a049672caf582b864bc98d68,"['alternative hip hop', 'golden age hip hop']"
Little Brigid Flynn,The Irish Rovers,Little Brigid Flynn,The Irish Rovers,Come Fill Up Your Glasses,1998-01-30,13,182040,False,https://i.scdn.co/image/ab67616d0000b2732cd381cd7b988b12b8bdaf42,"['canadian celtic', 'irish folk', 'irish pub song', 'shanty']"
Mönchengladbach Love,Eko Fresh feat. Summer Cem & DJ Ses,Mönchengladbach Love (feat. Summer Cem & DJ Ses),Eko Fresh,Ich bin jung und brauche das Geld,2003-11-03,10,244640,False,https://i.scdn.co/image/ab67616d0000b2733d58cfde196ccbb9bdf05d61,"['cologne hip hop', 'german hip hop', 'turkish hip hop']"
YOUR LOVE,Freddie McGregor,YOUR LOVE,Freddie McGregor,Strictly The Best 28,2005,2,229946,False,https://i.scdn.co/image/ab67616d0000b27364e9d12736e8b29b0adac7bc,"['lovers rock', 'reggae', 'roots reggae']"
Explode ,Jordan & Baker,Explode - Radio Mix,Jens Jordan,Explode,2005-09-05,54,214573,False,https://i.scdn.co/image/ab67616d0000b27312f7ad957b2a38c94d2e4959,
No Storm,Dorothy Norwood,No Storm,Dorothy Norwood,Shake the Devil Off,1995-10-04,3,512906,False,https://i.scdn.co/image/ab67616d0000b2739ba0e295ec234b543faa26bd,"['gospel', 'praise']"
Just Come In,Margaret Becker,Just Come In,Margaret Becker,Immigrant's Daughter,1989-01-01,7,268773,False,https://i.scdn.co/image/ab67616d0000b273831b4605fc2c5af0cf168e81,['deep christian rock']
What He Done For Me,Sister Rosetta Tharpe,What He Done For Me,Sister Rosetta Tharpe,Sister Rosetta Tharpe Vol. 2 1942-1944,1995,2,162351,False,https://i.scdn.co/image/ab67616d0000b2739e333ac43d45586d771617cc,"['acoustic blues', 'gospel blues', 'traditional blues']"
For You Mom & Dad,Stefon Harris,For You Mom & Dad,Stefon Harris,A Cloud Of Red Dust,1998-01-01,0,375400,False,https://i.scdn.co/image/ab67616d0000b273720b835101ebc8c5f58738f6,['jazz vibraphone']
Dirty_ Dirty  ,Crazy Horse,"Dirty, Dirty",Crazy Horse,Crazy Horse,1971-01-01,19,212853,False,https://i.scdn.co/image/ab67616d0000b273168f09ba72894dfdac54d13c,"['country rock', 'folk rock', 'roots rock']"
Old Dan Tucker,Jim Smoak & The Louisiana Honeydrippers,Old Dan Tucker,Jim Smoak,Bayou Bluegrass,1961-01-01,8,140640,False,https://i.scdn.co/image/ab67616d0000b27347a45bc1e3749af868867d99,['banjo']
That Old Gang Of Mine,Dean Martin,That Old Gang of Mine,Dean Martin,Once in a While,1974,7,146666,False,https://i.scdn.co/image/ab67616d0000b27329a872110b4ff2bdf75ce6dd,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
Happy,Shunza,Happy,Shunza,Dear Shunza,2002,2,273560,False,https://i.scdn.co/image/ab67616d0000b2734b82285b5b5c744b7c0803b6,"['classic mandopop', 'mainland chinese pop', 'mandopop']"
Ta Methismena S' Agapo,Angela Dimitriou,Ta Methismena S' Agapo,Angela Dimitriou,Thisia Live,2001-04-26,2,230640,False,https://i.scdn.co/image/ab67616d0000b2739545f306980e220c1a06de8a,"['greek pop', 'laiko']"
One More Breath,Rhinoceros,One More Breath,Rhinoceros,They Are Coming For Me,2009-02-02,0,77240,False,https://i.scdn.co/image/ab67616d0000b273323c0bf688d4221a39bf657e,['buffalo ny metal']
Driving Wheel,Syl Johnson,Driving Wheel,Syl Johnson,Back In The Game,1994-01-01,1,238866,False,https://i.scdn.co/image/ab67616d0000b273c32994b2645387652f58d732,"['chicago soul', 'memphis soul', 'southern soul']"
Don't Get Around Much Anymore,Natalie Cole,Don't Get Around Much Anymore,Natalie Cole,Unforgettable: With Love,1991-06-11,24,154626,False,https://i.scdn.co/image/ab67616d0000b273dfb2b41e8669c38536b7c3b6,"['adult standards', 'disco', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
Take it slow,The Real Kids,Take it slow,The Real Kids,The new rose years,2001-06-15,0,183840,False,https://i.scdn.co/image/ab67616d0000b2731cb0ef9bdd7bc5159d334f86,"['boston rock', 'protopunk', 'rhythm rock']"
Please Love Me,B.B.King,Please Send Me Someone To Love,B.B. King,Deuces Wild,1997-11-04,29,255333,False,https://i.scdn.co/image/ab67616d0000b2730cb9e4d49412fce4ae730004,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul', 'soul blues', 'traditional blues']"
Those Less Fortunate Than I,Darryl Worley,Those Less Fortunate Than I,Darryl Worley,Have You Forgotten?,2003-01-01,7,237333,False,https://i.scdn.co/image/ab67616d0000b273e730cfe19175c6fcfbfd524b,"['country', 'country road']"
Voice of Angels Drone for Spiritual Well Being,Ambient Music Therapy,Voice of Angels Drone for Spiritual Well Being,Ambient Music Therapy,Drones & Tones,2015-06-20,0,167996,False,https://i.scdn.co/image/ab67616d0000b2731db59b9e19aa52768c6cc07c,['sleep']
Mi Raza,Peret,Mi Raza - Remasterizado,Peret,El Joven Peret (Remasterizado 2022),1979,0,285773,False,https://i.scdn.co/image/ab67616d0000b27360533a45dc82ad93ee8247f7,"['rumba', 'rumba catalana']"
Be,Jessica Simpson,Be,Jessica Simpson,In This Skin (Deluxe Edition),2003,18,249293,False,https://i.scdn.co/image/ab67616d0000b273adefab4c77e8a845234eeee4,"['dance pop', 'post-teen pop']"
All Through The Night ,Bowen_ Robin Huw,All Through the Night,Robin Huw Bowen,Harp Music of Wales,1994,3,243960,False,https://i.scdn.co/image/ab67616d0000b273e21fecb11e3e694e2914efaf,"['celtic harp', 'harp', 'welsh folk']"
At The County Fair - Original,The Impressions,At The County Fair - Original,The Impressions,The Impressions' The Gift Of Love,2006-06-25,0,124973,False,https://i.scdn.co/image/ab67616d0000b27349be70e7ccf39dc134f9bc64,"['chicago soul', 'classic soul', 'funk', 'quiet storm', 'soul']"
Peaceful World,John Mellencamp,Peaceful World,John Mellencamp,Cuttin' Heads,2001-10-16,29,244040,False,https://i.scdn.co/image/ab67616d0000b2732e1b73ac281745dce83a61a2,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
Good Day ,The Mad Capsule Markets,GOOD DAY,The Mad Capsule Markets,010,2001-07-11,8,226861,False,https://i.scdn.co/image/ab67616d0000b273f09c128ab20a15dc97966c8f,"['digital hardcore', 'j-metal', 'j-punk']"
Midnight Cannonball ,Joe Turner,Midnight Cannonball,Big Joe Turner,Big Bad & Blue - The Joe Turner Anthology,1987-09-29,9,151413,False,https://i.scdn.co/image/ab67616d0000b2735685d9e88ef5e474853e939a,"['blues', 'jump blues', 'rhythm and blues', 'traditional blues']"
Tuggathanug,Legion Of Green Men,Tuggathanug,Legion of Green Men,Baqontraq,2007-06-05,0,339893,False,https://i.scdn.co/image/ab67616d0000b27363cd307a0f22a3870c73666c,
Shine On Harvest Moon ,Mance Lipscomb,Shine on Harvest Moon,Mance Lipscomb,Trouble In Mind,2003-03-14,3,166466,False,https://i.scdn.co/image/ab67616d0000b273fd8d66262e872ec760c5468b,"['country blues', 'texas blues', 'traditional blues']"
There It Go ,Juelz Santana,There It Go (The Whistle Song),Juelz Santana,What The Game's Been Missing!,2005-01-01,58,180493,True,https://i.scdn.co/image/ab67616d0000b273f163445f10aad2eeadc80bee,"['gangster rap', 'harlem hip hop', 'hip pop', 'nyc rap', 'pop rap', 'trap']"
Kanoê,Márcio Faraco,Kanoê,Márcio Faraco,Um Rio,2008-01-14,27,238093,False,https://i.scdn.co/image/ab67616d0000b27314462315c01f173bd0d2e6f9,
Lole Lolaila,Cardenales del Exito,Lole Lolaila,Cardenales Del Exito,Sus Mejores Gaitas,2004-01-01,49,235000,False,https://i.scdn.co/image/ab67616d0000b27383fb0ab850e137fa60cd1c8b,"['classic venezuelan pop', 'gaita zuliana']"
Le Choix,Greis,Le choix,Greis,2,2007-11-30,1,217360,False,https://i.scdn.co/image/ab67616d0000b2739ed3bf4f26355e5a8271039b,"['mundart', 'swiss hip hop']"
Cosmonaut,Wolfmother,Cosmonaut,Wolfmother,Cosmic Egg (Deluxe),2009-01-01,10,288373,False,https://i.scdn.co/image/ab67616d0000b2735fce1ae24050b4fad1522c77,"['alternative rock', 'australian psych', 'garage rock', 'modern blues rock', 'modern rock', 'rock']"
Country Girl,Al De Lory,Country Girl,Al De Lory,Norwood,1970-01-01,0,175813,False,https://i.scdn.co/image/ab67616d0000b273610b8d874916c92d7f3efabf,
Stormtrooper ,Pepper,Stormtrooper,Pepper,Kona Town,2002-03-26,40,327493,False,https://i.scdn.co/image/ab67616d0000b273d91bff6dd92c12d62ed3e072,"['reggae fusion', 'reggae rock']"
Waste A Little Time On Me,The Michael Stanley Band,Waste a Little Time On Me - Live,Michael Stanley Band,Stagepass,1977,9,232133,False,https://i.scdn.co/image/ab67616d0000b273dfe84cd1284c3a934e83b64b,['heartland rock']
Bad Days,Timo Maas,Bad Days,Timo Maas,Loud (Eastwest Release),2002-03-04,22,253906,False,https://i.scdn.co/image/ab67616d0000b2732d988e0d5b92facb4a1097db,"['big beat', 'breakbeat', 'classic progressive house', 'nu skool breaks', 'tribal house']"
Man Of No Reputation,Bob Carlisle,Man Of No Reputation,Bob Carlisle,The Hope Of A Man,1994-01-01,1,331533,False,https://i.scdn.co/image/ab67616d0000b273a03273a1e1905b17d3ef15db,
All On Our Own,One Block Radius,All On Our Own,One Block Radius,One Block Radius,2008-01-01,0,236746,True,https://i.scdn.co/image/ab67616d0000b2730b8197e5ca5b398148c9dcb6,
Nossa Dança,Nana Caymmi,Nossa Dança,Nana Caymmi,Nana Caymmi,1979-04-05,4,174733,False,https://i.scdn.co/image/ab67616d0000b273e71d4560f9ff228ad24f0713,"['bossa nova', 'mpb', 'samba', 'velha guarda']"
Mountain By The Sea ,Various Indian Tribes,Mountain By The Sea,Various Indian Tribes,American Indian Ceremonial & War Dances,2006-03-07,0,193266,False,https://i.scdn.co/image/ab67616d0000b2735f0296e5e1744143c008f0a0,['native american traditional']
All Day,Butthole Surfers,All Day,Butthole Surfers,Humpty Dumpty LSD,2002-03-18,3,512185,False,https://i.scdn.co/image/ab67616d0000b2730ebc61e7ae8123219de39a80,"['alternative rock', 'experimental rock', 'grunge', 'noise rock', 'psychedelic punk', 'punk']"
La Revolución,Memphis La Blusera,La Revolución,Memphis La Blusera,"Cosa de Hombres, Vol. 1",2004-11-02,28,265386,False,https://i.scdn.co/image/ab67616d0000b273229eb6cc187a289f9a3a49f8,"['argentine rock', 'blues latinoamericano']"
Air_ Siote No. 3 ,Mariano Yanani,"Air, Siote No. 3 (J.S. Bach)",Mariano Yanani,Babies Go To Sleep,2003-01-01,11,191373,False,https://i.scdn.co/image/ab67616d0000b2734af0588a4477e3cc7410d805,
Moon Boom,Anat Ben David,Moon Boom,Anat Ben David,Virtual Leisure,2008-03-27,0,213706,False,https://i.scdn.co/image/ab67616d0000b273fe6f6788c3e99725bae0f65b,
Time Is On My Side,The Rolling Stones,Time Is On My Side - Mono Version / Organ Intro,The Rolling Stones,12 X 5,1964-10-17,42,172693,False,https://i.scdn.co/image/ab67616d0000b2739d6ee4590d050ec9563daa92,"['album rock', 'british invasion', 'classic rock', 'rock']"
We Will Glorify ,Twila Paris,We Will Glorify,Twila Paris,Keepin' My Eyes On You,1982,22,147000,False,https://i.scdn.co/image/ab67616d0000b2736e009417fb3860ad003f4ac1,"['christian alternative rock', 'christian music', 'classic praise']"
Floripa,Plagia,Floripa,Plagia,Pinkboy Presents TPC,2006-04-03,0,354253,False,https://i.scdn.co/image/ab67616d0000b27387a73d8b8c8ff65a621b6f94,
Hasta El Final,La Portuaria,Hasta El Final,La Portuaria,Rio,2005-01-01,15,224866,False,https://i.scdn.co/image/ab67616d0000b273031068c53ca30ab0dad73458,"['argentine rock', 'ska argentino']"
John Dunbar Theme [Dances with Wolves],Hollywood Bowl Orchestra / John Mauceri,"John Dunbar Theme - From ""Dances With Wolves""",John Barry,Hollywood Dreams,1991-01-01,23,149000,False,https://i.scdn.co/image/ab67616d0000b27382403d58aa6fad1284127fe0,"['british soundtrack', 'classic soundtrack', 'orchestral soundtrack']"
Do It Nice,Suicide,Do It Nice,Suicide,The Second Album + The First Rehearsal Tapes,1999-06-28,4,323893,False,https://i.scdn.co/image/ab67616d0000b2738c817f54e7af013765a807a3,"['experimental', 'experimental rock', 'no wave', 'noise rock', 'synth punk']"
Someday,Max Melvin,Someday,Max Melvin,Seasons,2008-05-23,3,263317,False,https://i.scdn.co/image/ab67616d0000b27397ab816c1faf671fb17650d2,"['chill lounge', 'deep chill']"
Gewisse Leute,Rainer Bielfeldt,Gewisse Leute,Rainer Bielfeldt,Herzen mit Koffer,2023-10-13,0,192809,False,https://i.scdn.co/image/ab67616d0000b273acd0a4016ed11aae1ba70c05,
Amazing ,Point Of Grace,Amazing,Point Of Grace,Steady On,1998-08-05,8,294093,False,https://i.scdn.co/image/ab67616d0000b27387a99588b9f07733ffc60e34,"['ccm', 'christian alternative rock', 'christian music']"
Murda',Rodney O & Joe Cooley,Murda',Rodney O,The Final Chapter,1998-02-17,0,230973,True,https://i.scdn.co/image/ab67616d0000b273ae7e7b5e043f2b2f1765e508,"['electro', 'miami bass']"
The Monkey King,William Orbit,The Monkey King,William Orbit,Strange Cargo III,1993-01-01,17,315440,False,https://i.scdn.co/image/ab67616d0000b2733a8573b325d2370ec0aaa914,"['classic progressive house', 'downtempo', 'intelligent dance music']"
You And Your Heart,Jack Johnson,You And Your Heart,Jack Johnson,To The Sea,2010-01-01,50,192853,False,https://i.scdn.co/image/ab67616d0000b2735575761306bf1f0a18497438,['neo mellow']
Big Railroad Blues,Gus Cannon,Big Railroad Blues,Cannon's Jug Stompers,Presenting Cannon's Jug Stompers,1928-02-03,8,198520,False,https://i.scdn.co/image/ab67616d0000b27375843a818f64974d4ce3b9d5,"['country blues', 'jug band', 'memphis blues', 'traditional blues', 'traditional folk']"
We Can't Win ,A.Z.,We Can't Win,AZ,Doe Or Die,1995-10-10,20,203053,True,https://i.scdn.co/image/ab67616d0000b273c04fefa8d26c027f5f52c84c,"['alternative hip hop', 'hardcore hip hop', 'hip hop']"
Les Chaudrons,André Minvielle,Les Chaudrons,André Minvielle,La Vie D'Ici Bas,2007,2,297066,False,https://i.scdn.co/image/ab67616d0000b27358885063ddb4afcbe69d871f,['musica occitana']
El Barbero,Gaiteros de Pillopo,El Barbero,Gaiteros de Pillopo,Gaiteros de Pillopo '85,1985,48,248080,False,https://i.scdn.co/image/ab67616d0000b2734f71093c31fa4a06910a48a2,"['classic venezuelan pop', 'gaita zuliana']"
My Funny Valentine,Arturo Sandoval,My Funny Valentine,Matt Dusk,My Funny Valentine: The Chet Baker Songbook,2013-02-12,12,294920,False,https://i.scdn.co/image/ab67616d0000b273a2a2f947117b522fc1523a64,['contemporary vocal jazz']
Hell Will Reign,Demonbreed,Hell Will Reign,Demonbreed,Closer To God,2005-10-17,0,337426,False,https://i.scdn.co/image/ab67616d0000b2733a4d19230d9c28827d209f05,['german death metal']
Turbocharger,Chaotica,Turbocharger,Chaotica,Turbocharger,1999-01-01,3,235426,False,https://i.scdn.co/image/ab67616d0000b27393755f97c318c3eb72979087,['neo-industrial rock']
Rock Bottom,House Of Lords,Rock Bottom,House Of Lords,World Upside Down,2006-06-06,14,232693,False,https://i.scdn.co/image/ab67616d0000b2731cb1fbcdd63fa1bac74b867d,"['glam metal', 'hard rock', 'melodic hard rock', 'sleaze rock']"
Marea De Venus,Cerati-Melero,Marea de Venus,Gustavo Cerati,Colores Santos,1992,33,262386,False,https://i.scdn.co/image/ab67616d0000b273b93e251a8388651b81497e24,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol']"
Shi Shang Zui Qiang Man Hua Wang Da Luan Dou,Leo Ku,史上最強漫畫王大亂鬥,Leo Ku,大雄,2004-07-24,8,183012,False,https://i.scdn.co/image/ab67616d0000b2738b2dcb6ce21ad336cb37d70b,['cantopop']
Snowdrops,The Pineapple Thief,Snowdrops - Remastered,The Pineapple Thief,Little Man (Remastered),2006-01-01,9,356529,False,https://i.scdn.co/image/ab67616d0000b27371edbe4ef94e5ba49d3d4a4e,"['modern progressive rock', 'progressive metal']"
Say Yeah,Capleton,Say Yeah,Capleton,Riddim Rider Volume. 17:Chronic,2008-07-15,2,237200,False,https://i.scdn.co/image/ab67616d0000b273b95dea9e35773d186421f3c1,"['dancehall', 'lovers rock', 'reggae', 'roots reggae']"
Luna De Octubre,Flor Silvestre,Luna De Octubre,Flor Silvestre,Mis Boleros Favoritos,1970-01-01,1,157413,False,https://i.scdn.co/image/ab67616d0000b2735743ad2f6df4b38f3f4e20d5,"['mariachi', 'ranchera']"
Sweet Southern Comfort,Buddy Jewell,Sweet Southern Comfort,Buddy Jewell,Buddy Jewell,2003-07-01,44,212906,False,https://i.scdn.co/image/ab67616d0000b27329c98823e73bb4a327bb1cf1,['country road']
I Want To Go Home,Remmy Ongala,I Want to Go Home,Remmy Ongala,Mambo,1992,22,489466,False,https://i.scdn.co/image/ab67616d0000b273ece9964e171b8867d3b647c1,['zilizopendwa']
Life,Jimmy Riley,Life Is No Bed of Roses,Jimmy Riley,Love Fa Real,2012-04-19,0,243000,False,https://i.scdn.co/image/ab67616d0000b273ca1a0d42e1d7a86d25c6fe59,"['lovers rock', 'old school dancehall', 'reggae', 'rocksteady', 'roots reggae']"
The Ferocious O' Flahertys,Joe Heaney,The Ferocious O' Flahertys,Joe Heaney,The Road from Connemara,2006,0,52773,False,https://i.scdn.co/image/ab67616d0000b273a38f7fcebf2d16b260871815,"['irish folk', 'sean-nos singing', 'traditional irish singing']"
Rudolph The Red Nosed Reindeer,Frankie Randall,Rudolph The Red Nosed Reindeer,Frankie Randall,Let's Make Christmas Every Day,2003-11-18,0,200706,False,https://i.scdn.co/image/ab67616d0000b273942514875a71264f5940abf2,
Round and Round,Otis Taylor,Round and Round,Otis Taylor,White African,2001,8,107826,False,https://i.scdn.co/image/ab67616d0000b2735dad42ee49620d8f8cabab46,"['acoustic blues', 'country blues']"
Water Is Alright In Tay,The Clancy Brothers,Water Is Alright In Tay,The Clancy Brothers,Irish Drinking Songs,1993-02-02,27,112106,False,https://i.scdn.co/image/ab67616d0000b2739f62c7cccbaf889c05e55085,"['irish folk', 'irish pub song']"
Second Hand Life,Joe Lynn Turner,Second Hand Life,Joe Lynn Turner,Second Hand Life,2007-09-18,4,274115,False,https://i.scdn.co/image/ab67616d0000b27347e4b426fbe64c9f57ba58d9,"['glam metal', 'hard rock']"
